zip_code,state,national_district,national_wholesaler,wealth_district,wealth_wholesaler,fi_district,fi_wholesaler,wifi_district,wifi_wholesaler,structure_pattern,wholesalers_in_state,has_commercial_opportunity
01342,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01343,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01344,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01346,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01347,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01349,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01350,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01351,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01354,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01355,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01360,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01364,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01366,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01367,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01368,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01370,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01373,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01375,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01376,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01378,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
