scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,01255,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01256,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01256,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01256,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01257,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01257,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01257,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01258,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01258,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01258,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01259,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01259,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01259,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01260,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01260,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01260,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01262,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01262,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01262,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01264,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01264,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01264,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01266,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01266,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01266,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01267,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01267,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01267,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01270,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01270,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01270,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01301,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01301,MA,National,N,N_13,R0013,False
